company_id,name,sector,hiring_freeze_score,exec_departure_rate,news_negativity,review_sentiment,engagement_signals,client_churn,delays,collapsed
C0001,Cobalt Networks,Fintech,0.0086,0.0000,0.3278,0.6274,0.8551,0.0631,0.0468,0
C0002,Vega Digital,Fintech,0.2625,0.0818,0.3566,0.0701,0.4621,0.0891,0.2511,0
C0003,Rudra Systems,Retail Tech,0.5957,0.1852,0.6583,0.4557,0.5430,0.0349,0.2058,0
C0004,Rudra Analytics,EdTech,0.1434,0.0000,0.0660,0.5879,0.4966,0.2344,0.0408,0
C0005,Sutra Networks,SaaS,0.6795,0.2079,0.4307,-0.1227,0.9624,0.0000,0.1849,0
C0006,Indus Analytics,Retail Tech,0.3295,0.3032,0.3057,0.5561,0.6038,0.0518,0.0777,0
C0007,Indus Systems,Fintech,0.5245,0.3112,0.5683,-0.4930,0.3542,0.2998,0.6717,0
C0008,Kaveri Works,Retail Tech,0.0022,0.2264,0.2755,0.3420,0.6827,0.0000,0.0803,0
C0009,Ember Labs,Fintech,0.3956,0.3258,0.1493,0.5108,0.6855,0.2519,0.0000,0
C0010,Yama Labs,Mobility,0.0000,0.0164,0.2837,0.5210,0.5722,0.0986,0.0000,0
C0011,Gala Labs,EdTech,0.1785,0.0000,0.3873,0.2261,0.6895,0.1875,0.0000,0
C0012,Orbit Digital,Retail Tech,0.3840,0.2594,0.5872,-0.7077,0.3659,0.3993,0.1829,1
C0013,Yama Systems,Logistics,0.2487,0.0089,0.2072,0.1355,0.5564,0.1119,0.0280,0
C0014,Sutra Labs,Fintech,0.6942,0.4805,0.6466,-0.2326,0.2133,0.3131,0.6358,1
C0015,Yama Technologies,SaaS,0.2093,0.1309,0.3977,0.4317,0.6377,0.0332,0.1369,0
C0016,Aster Digital,Fintech,0.3469,0.1027,0.3999,-0.1986,0.5850,0.0991,0.0928,0
C0017,Orbit Works,D2C,0.4167,0.4016,0.3704,-0.0697,0.4574,0.3190,0.1957,1
C0018,Umbra Technologies,D2C,0.2372,0.1282,0.4812,0.3090,0.5203,0.0580,0.4129,1
C0019,Xenon Systems,Fintech,0.3221,0.3681,0.3257,-0.1315,0.5161,0.3785,0.3334,1
C0020,Wick Technologies,Mobility,0.3956,0.1067,0.1960,0.2540,0.7737,0.3081,0.5409,0
C0021,Zephyr Labs,Retail Tech,0.7538,0.2907,0.3325,-0.1909,0.3717,0.0839,0.2297,1
C0022,Quanta Digital,Fintech,0.1933,0.0941,0.5270,0.4295,0.7132,0.1682,0.1519,0
C0023,Indus Networks,Mobility,0.2359,0.0000,0.3085,0.3281,0.8289,0.0000,0.0619,0
C0024,Meru Labs,SaaS,0.6143,0.2784,0.6554,0.2260,0.3572,0.3526,0.6709,0
C0025,Umbra Systems,Logistics,0.7031,0.5087,0.6172,-0.4692,0.0394,0.3390,0.4555,1
C0026,Quanta Systems,SaaS,0.9722,0.5294,0.5165,-0.4811,0.1520,0.2856,0.3436,1
C0027,Ember Systems,Fintech,0.4790,0.4042,0.4253,0.0005,0.2151,0.1830,0.3553,1
C0028,Wick Works,Retail Tech,0.4461,0.3819,0.7845,-0.4990,0.2622,0.2932,0.5435,1
C0029,Aster Networks,EdTech,0.7222,0.4026,0.6011,-0.4589,0.6062,0.1849,0.2093,1
C0030,Bodhi Networks,Retail Tech,0.3135,0.5206,0.2570,-0.2089,0.3962,0.2614,0.3986,1
C0031,Zephyr Analytics,SaaS,0.2764,0.4447,0.4606,-0.5298,0.2096,0.3886,0.1607,0
C0032,Fjord Ventures,Logistics,0.6390,0.3583,0.4021,-0.0500,0.3526,0.2877,0.4741,1
C0033,Sutra Systems,EdTech,0.5259,0.1653,0.4164,-0.0573,0.2947,0.5572,0.2861,1
C0034,Sutra Ventures,Logistics,0.3180,0.1538,0.5456,0.3535,0.4572,0.0775,0.2141,0
C0035,Wick Ventures,D2C,0.6320,0.2071,0.0000,0.2371,0.6546,0.2176,0.3507,0
C0036,Yama Analytics,SaaS,0.1788,0.2222,0.0400,0.0275,0.5525,0.0437,0.0000,0
C0037,Delta Networks,Logistics,0.1640,0.2251,0.1204,0.1032,0.7319,0.0529,0.2559,0
C0038,Quanta Analytics,Retail Tech,0.5403,0.3054,0.9901,-0.2952,0.4941,0.3915,0.5127,1
C0039,Orbit Ventures,Mobility,0.5468,0.4288,0.5124,-0.2877,0.4938,0.1649,0.4969,1
C0040,Yama Digital,HealthTech,0.1728,0.1242,0.1955,0.0966,0.3735,0.3305,0.4526,0
C0041,Helix Technologies,EdTech,0.0311,0.0902,0.2037,0.4893,0.5333,0.0730,0.1306,0
C0042,Vega Networks,D2C,0.1665,0.1232,0.4828,0.5076,0.5386,0.1580,0.1268,0
C0043,Xenon Ventures,EdTech,0.5621,0.1455,0.3437,-0.0966,0.5679,0.2567,0.2205,1
C0044,Orbit Networks,Logistics,0.5543,0.2009,0.4346,0.0416,0.5657,0.1588,0.3387,1
C0045,Kaveri Digital,HealthTech,0.2545,0.1200,0.6757,0.3543,0.4711,0.1246,0.6418,1
C0046,Prism Systems,Fintech,0.6602,0.2825,0.4146,-0.4003,0.5898,0.3188,0.4248,1
C0047,Juno Works,Mobility,0.6000,0.1785,0.1798,0.1339,0.4810,0.1974,0.4030,1
C0048,Delta Technologies,Mobility,0.0867,0.1567,0.0380,0.4988,0.5673,0.0322,0.3793,0
C0049,Quanta Ventures,Mobility,0.0068,0.2142,0.0398,0.4575,0.9335,0.1354,0.0310,0
C0050,Juno Labs,Retail Tech,0.3373,0.0000,0.2168,0.6571,0.7284,0.1355,0.2496,0
C0051,Quanta Works,EdTech,0.3290,0.3077,0.3801,-0.1183,0.0725,0.1675,0.1134,1
C0052,Bodhi Labs,Fintech,0.5543,0.5002,0.6716,-0.4885,0.3393,0.1787,0.2849,0
C0053,Aster Systems,D2C,0.5408,0.0598,0.2163,0.7437,0.6705,0.1071,0.1573,0
C0054,Cobalt Labs,Fintech,0.2718,0.0805,0.4310,0.6706,0.6221,0.1656,0.1581,0
C0055,Aster Ventures,Mobility,0.6008,0.2590,0.3833,0.0446,0.3068,0.2766,0.4549,1
C0056,Cobalt Analytics,SaaS,0.2413,0.2452,0.1756,0.1571,0.5001,0.2242,0.3928,1
C0057,Juno Technologies,HealthTech,0.0000,0.3007,0.5098,0.4033,0.6989,0.0000,0.1431,0
C0058,Helix Systems,Logistics,0.3290,0.4081,0.4985,0.5883,0.6790,0.1606,0.0771,0
C0059,Prism Analytics,HealthTech,0.2177,0.3107,0.3222,0.3690,0.8008,0.0443,0.3564,0
C0060,Kaveri Networks,EdTech,0.4390,0.4363,0.4038,0.0518,0.7155,0.1742,0.3149,0
C0061,Ember Ventures,Fintech,0.2925,0.1775,0.1294,0.2912,0.8525,0.1717,0.0623,0
C0062,Vega Technologies,Retail Tech,0.8099,0.4796,0.6865,-0.3392,0.1106,0.4523,0.7840,1
C0063,Prism Technologies,Fintech,0.3792,0.4057,0.3550,-0.0413,0.5872,0.2182,0.2815,1
C0064,Indus Digital,EdTech,0.5161,0.3757,0.0000,0.4330,0.6620,0.1963,0.2191,0
C0065,Umbra Works,SaaS,0.3828,0.2098,0.2841,0.1421,0.4587,0.2482,0.3020,0
C0066,Rudra Technologies,Retail Tech,0.6181,0.2817,0.5838,-0.2218,0.4410,0.2810,0.5362,1
C0067,Lumen Networks,Retail Tech,0.3068,0.3448,0.5810,0.0888,0.6502,0.2592,0.2298,0
C0068,Yama Networks,SaaS,0.3270,0.1745,0.3216,-0.1570,0.5195,0.2592,0.2338,0
C0069,Juno Digital,Fintech,0.4007,0.2484,0.2462,0.1683,0.6706,0.0720,0.1436,0
C0070,Delta Labs,SaaS,0.4742,0.2695,0.3797,0.3426,0.6964,0.1727,0.2291,0
C0071,Xenon Networks,HealthTech,0.1927,0.0977,0.6552,0.3633,0.5939,0.2731,0.3784,0
C0072,Umbra Analytics,HealthTech,0.1884,0.2525,0.3473,0.0091,0.6722,0.0182,0.2491,0
C0073,Wick Systems,EdTech,0.0301,0.0000,0.0499,0.1518,0.9258,0.1542,0.1062,0
C0074,Vega Labs,Logistics,0.5154,0.4956,0.6124,-0.4814,0.1995,0.3902,0.4080,1
C0075,Fjord Works,Mobility,0.8232,0.4374,0.6371,0.1212,0.2798,0.3714,0.2574,1
C0076,Zephyr Works,Mobility,0.8243,0.4223,0.6841,-0.3097,0.4660,0.2801,0.4953,1
C0077,Tara Works,SaaS,0.4659,0.3689,0.4870,-0.3372,0.4322,0.3076,0.6415,1
C0078,Indus Works,Logistics,0.1794,0.1459,0.2517,0.1388,0.5637,0.1635,0.0000,0
C0079,Meru Networks,SaaS,0.5558,0.3207,0.5219,-0.0160,0.3700,0.2271,0.2052,0
C0080,Xenon Technologies,EdTech,0.2543,0.2401,0.3771,-0.1758,0.5719,0.2449,0.0712,0
