company_id,week,postings
C0001,1,18
C0001,2,17
C0001,3,20
C0001,4,11
C0001,5,16
C0001,6,20
C0001,7,22
C0001,8,16
C0001,9,19
C0001,10,19
C0001,11,21
C0001,12,12
C0001,13,20
C0001,14,10
C0001,15,5
C0001,16,15
C0001,17,13
C0001,18,22
C0001,19,21
C0001,20,12
C0001,21,22
C0001,22,13
C0001,23,17
C0001,24,16
C0001,25,18
C0001,26,22
C0002,1,51
C0002,2,32
C0002,3,43
C0002,4,47
C0002,5,53
C0002,6,40
C0002,7,44
C0002,8,39
C0002,9,29
C0002,10,45
C0002,11,42
C0002,12,41
C0002,13,52
C0002,14,54
C0002,15,32
C0002,16,41
C0002,17,35
C0002,18,49
C0002,19,27
C0002,20,64
C0002,21,50
C0002,22,51
C0002,23,44
C0002,24,29
C0002,25,46
C0002,26,47
C0003,1,78
C0003,2,66
C0003,3,64
C0003,4,63
C0003,5,83
C0003,6,87
C0003,7,57
C0003,8,70
C0003,9,74
C0003,10,74
C0003,11,74
C0003,12,76
C0003,13,93
C0003,14,66
C0003,15,79
C0003,16,68
C0003,17,95
C0003,18,83
C0003,19,80
C0003,20,75
C0003,21,73
C0003,22,77
C0003,23,78
C0003,24,60
C0003,25,85
C0003,26,86
C0004,1,43
C0004,2,42
C0004,3,36
C0004,4,48
C0004,5,39
C0004,6,49
C0004,7,29
C0004,8,37
C0004,9,47
C0004,10,33
C0004,11,40
C0004,12,48
C0004,13,37
C0004,14,41
C0004,15,36
C0004,16,33
C0004,17,27
C0004,18,46
C0004,19,48
C0004,20,42
C0004,21,37
C0004,22,36
C0004,23,36
C0004,24,25
C0004,25,41
C0004,26,41
C0005,1,33
C0005,2,20
C0005,3,22
C0005,4,33
C0005,5,23
C0005,6,14
C0005,7,20
C0005,8,18
C0005,9,25
C0005,10,27
C0005,11,32
C0005,12,27
C0005,13,28
C0005,14,25
C0005,15,29
C0005,16,25
C0005,17,29
C0005,18,20
C0005,19,29
C0005,20,25
C0005,21,24
C0005,22,21
C0005,23,33
C0005,24,27
C0005,25,12
C0005,26,30
C0006,1,19
C0006,2,22
C0006,3,28
C0006,4,15
C0006,5,22
C0006,6,16
C0006,7,24
C0006,8,27
C0006,9,17
C0006,10,13
C0006,11,27
C0006,12,19
C0006,13,29
C0006,14,20
C0006,15,17
C0006,16,27
C0006,17,22
C0006,18,19
C0006,19,21
C0006,20,21
C0006,21,16
C0006,22,19
C0006,23,13
C0006,24,15
C0006,25,22
C0006,26,27
C0007,1,85
C0007,2,85
C0007,3,93
C0007,4,68
C0007,5,93
C0007,6,62
C0007,7,81
C0007,8,87
C0007,9,94
C0007,10,91
C0007,11,88
C0007,12,59
C0007,13,47
C0007,14,33
C0007,15,30
C0007,16,16
C0007,17,31
C0007,18,20
C0007,19,22
C0007,20,20
C0007,21,21
C0007,22,17
C0007,23,30
C0007,24,17
C0007,25,28
C0007,26,14
C0008,1,56
C0008,2,51
C0008,3,58
C0008,4,52
C0008,5,59
C0008,6,51
C0008,7,59
C0008,8,58
C0008,9,52
C0008,10,45
C0008,11,45
C0008,12,46
C0008,13,44
C0008,14,60
C0008,15,52
C0008,16,66
C0008,17,72
C0008,18,53
C0008,19,40
C0008,20,49
C0008,21,52
C0008,22,40
C0008,23,51
C0008,24,55
C0008,25,49
C0008,26,46
C0009,1,21
C0009,2,33
C0009,3,19
C0009,4,29
C0009,5,40
C0009,6,27
C0009,7,27
C0009,8,26
C0009,9,25
C0009,10,23
C0009,11,43
C0009,12,39
C0009,13,31
C0009,14,36
C0009,15,32
C0009,16,27
C0009,17,48
C0009,18,36
C0009,19,22
C0009,20,24
C0009,21,18
C0009,22,34
C0009,23,22
C0009,24,26
C0009,25,26
C0009,26,35
C0010,1,50
C0010,2,56
C0010,3,60
C0010,4,47
C0010,5,55
C0010,6,38
C0010,7,52
C0010,8,70
C0010,9,49
C0010,10,56
C0010,11,43
C0010,12,60
C0010,13,56
C0010,14,63
C0010,15,58
C0010,16,54
C0010,17,61
C0010,18,63
C0010,19,60
C0010,20,61
C0010,21,50
C0010,22,60
C0010,23,54
C0010,24,57
C0010,25,61
C0010,26,49
C0011,1,103
C0011,2,95
C0011,3,91
C0011,4,92
C0011,5,90
C0011,6,89
C0011,7,90
C0011,8,95
C0011,9,89
C0011,10,100
C0011,11,86
C0011,12,111
C0011,13,81
C0011,14,108
C0011,15,100
C0011,16,88
C0011,17,98
C0011,18,97
C0011,19,49
C0011,20,84
C0011,21,87
C0011,22,110
C0011,23,100
C0011,24,81
C0011,25,98
C0011,26,70
C0012,1,59
C0012,2,64
C0012,3,75
C0012,4,89
C0012,5,69
C0012,6,88
C0012,7,80
C0012,8,57
C0012,9,71
C0012,10,73
C0012,11,59
C0012,12,71
C0012,13,86
C0012,14,79
C0012,15,84
C0012,16,74
C0012,17,63
C0012,18,74
C0012,19,60
C0012,20,89
C0012,21,68
C0012,22,74
C0012,23,78
C0012,24,84
C0012,25,65
C0012,26,62
C0013,1,24
C0013,2,27
C0013,3,28
C0013,4,34
C0013,5,23
C0013,6,26
C0013,7,18
C0013,8,29
C0013,9,27
C0013,10,28
C0013,11,26
C0013,12,34
C0013,13,28
C0013,14,37
C0013,15,22
C0013,16,33
C0013,17,16
C0013,18,45
C0013,19,22
C0013,20,26
C0013,21,23
C0013,22,29
C0013,23,29
C0013,24,37
C0013,25,24
C0013,26,37
C0014,1,43
C0014,2,53
C0014,3,34
C0014,4,62
C0014,5,45
C0014,6,60
C0014,7,47
C0014,8,47
C0014,9,35
C0014,10,40
C0014,11,32
C0014,12,24
C0014,13,26
C0014,14,5
C0014,15,18
C0014,16,17
C0014,17,11
C0014,18,13
C0014,19,10
C0014,20,11
C0014,21,16
C0014,22,11
C0014,23,18
C0014,24,13
C0014,25,11
C0014,26,13
C0015,1,40
C0015,2,34
C0015,3,41
C0015,4,55
C0015,5,40
C0015,6,36
C0015,7,52
C0015,8,48
C0015,9,54
C0015,10,57
C0015,11,51
C0015,12,40
C0015,13,50
C0015,14,55
C0015,15,46
C0015,16,39
C0015,17,60
C0015,18,48
C0015,19,48
C0015,20,52
C0015,21,60
C0015,22,54
C0015,23,49
C0015,24,57
C0015,25,70
C0015,26,63
C0016,1,25
C0016,2,23
C0016,3,22
C0016,4,25
C0016,5,24
C0016,6,12
C0016,7,22
C0016,8,22
C0016,9,26
C0016,10,18
C0016,11,29
C0016,12,25
C0016,13,18
C0016,14,18
C0016,15,21
C0016,16,23
C0016,17,22
C0016,18,25
C0016,19,20
C0016,20,33
C0016,21,21
C0016,22,22
C0016,23,16
C0016,24,15
C0016,25,21
C0016,26,18
C0017,1,13
C0017,2,16
C0017,3,23
C0017,4,15
C0017,5,15
C0017,6,19
C0017,7,19
C0017,8,14
C0017,9,28
C0017,10,15
C0017,11,23
C0017,12,18
C0017,13,12
C0017,14,23
C0017,15,12
C0017,16,15
C0017,17,3
C0017,18,10
C0017,19,1
C0017,20,16
C0017,21,10
C0017,22,4
C0017,23,14
C0017,24,16
C0017,25,15
C0017,26,15
C0018,1,67
C0018,2,63
C0018,3,71
C0018,4,74
C0018,5,86
C0018,6,68
C0018,7,69
C0018,8,66
C0018,9,74
C0018,10,77
C0018,11,79
C0018,12,72
C0018,13,79
C0018,14,73
C0018,15,64
C0018,16,73
C0018,17,58
C0018,18,78
C0018,19,73
C0018,20,76
C0018,21,63
C0018,22,64
C0018,23,66
C0018,24,60
C0018,25,64
C0018,26,67
C0019,1,46
C0019,2,35
C0019,3,35
C0019,4,45
C0019,5,32
C0019,6,26
C0019,7,45
C0019,8,39
C0019,9,21
C0019,10,36
C0019,11,33
C0019,12,48
C0019,13,31
C0019,14,32
C0019,15,30
C0019,16,29
C0019,17,31
C0019,18,26
C0019,19,29
C0019,20,25
C0019,21,26
C0019,22,25
C0019,23,33
C0019,24,32
C0019,25,28
C0019,26,40
C0020,1,9
C0020,2,7
C0020,3,7
C0020,4,5
C0020,5,4
C0020,6,14
C0020,7,8
C0020,8,9
C0020,9,7
C0020,10,11
C0020,11,12
C0020,12,12
C0020,13,10
C0020,14,7
C0020,15,6
C0020,16,13
C0020,17,6
C0020,18,14
C0020,19,5
C0020,20,11
C0020,21,13
C0020,22,9
C0020,23,6
C0020,24,7
C0020,25,7
C0020,26,7
C0021,1,176
C0021,2,190
C0021,3,157
C0021,4,219
C0021,5,163
C0021,6,210
C0021,7,181
C0021,8,180
C0021,9,178
C0021,10,224
C0021,11,211
C0021,12,174
C0021,13,192
C0021,14,189
C0021,15,156
C0021,16,151
C0021,17,195
C0021,18,186
C0021,19,209
C0021,20,179
C0021,21,189
C0021,22,209
C0021,23,161
C0021,24,173
C0021,25,184
C0021,26,169
C0022,1,49
C0022,2,51
C0022,3,59
C0022,4,69
C0022,5,54
C0022,6,38
C0022,7,53
C0022,8,51
C0022,9,56
C0022,10,56
C0022,11,74
C0022,12,58
C0022,13,54
C0022,14,60
C0022,15,56
C0022,16,49
C0022,17,64
C0022,18,54
C0022,19,61
C0022,20,62
C0022,21,50
C0022,22,50
C0022,23,57
C0022,24,50
C0022,25,53
C0022,26,55
C0023,1,32
C0023,2,31
C0023,3,20
C0023,4,34
C0023,5,28
C0023,6,32
C0023,7,45
C0023,8,36
C0023,9,21
C0023,10,27
C0023,11,19
C0023,12,37
C0023,13,37
C0023,14,28
C0023,15,32
C0023,16,30
C0023,17,30
C0023,18,36
C0023,19,37
C0023,20,36
C0023,21,35
C0023,22,37
C0023,23,35
C0023,24,27
C0023,25,29
C0023,26,31
C0024,1,40
C0024,2,35
C0024,3,34
C0024,4,43
C0024,5,32
C0024,6,48
C0024,7,41
C0024,8,30
C0024,9,42
C0024,10,41
C0024,11,45
C0024,12,48
C0024,13,37
C0024,14,34
C0024,15,35
C0024,16,32
C0024,17,33
C0024,18,41
C0024,19,39
C0024,20,35
C0024,21,33
C0024,22,41
C0024,23,35
C0024,24,31
C0024,25,37
C0024,26,36
C0025,1,45
C0025,2,57
C0025,3,48
C0025,4,48
C0025,5,35
C0025,6,65
C0025,7,62
C0025,8,71
C0025,9,40
C0025,10,56
C0025,11,47
C0025,12,60
C0025,13,60
C0025,14,58
C0025,15,41
C0025,16,36
C0025,17,32
C0025,18,11
C0025,19,8
C0025,20,12
C0025,21,11
C0025,22,9
C0025,23,5
C0025,24,7
C0025,25,8
C0025,26,4
C0026,1,34
C0026,2,30
C0026,3,25
C0026,4,34
C0026,5,38
C0026,6,32
C0026,7,38
C0026,8,33
C0026,9,33
C0026,10,21
C0026,11,21
C0026,12,27
C0026,13,17
C0026,14,21
C0026,15,27
C0026,16,16
C0026,17,19
C0026,18,8
C0026,19,11
C0026,20,18
C0026,21,14
C0026,22,15
C0026,23,20
C0026,24,19
C0026,25,10
C0026,26,19
C0027,1,25
C0027,2,22
C0027,3,22
C0027,4,17
C0027,5,15
C0027,6,13
C0027,7,24
C0027,8,25
C0027,9,24
C0027,10,22
C0027,11,16
C0027,12,15
C0027,13,24
C0027,14,25
C0027,15,35
C0027,16,13
C0027,17,21
C0027,18,18
C0027,19,16
C0027,20,14
C0027,21,23
C0027,22,20
C0027,23,24
C0027,24,18
C0027,25,20
C0027,26,16
C0028,1,104
C0028,2,79
C0028,3,95
C0028,4,97
C0028,5,112
C0028,6,102
C0028,7,113
C0028,8,142
C0028,9,117
C0028,10,86
C0028,11,118
C0028,12,129
C0028,13,100
C0028,14,106
C0028,15,99
C0028,16,63
C0028,17,56
C0028,18,50
C0028,19,37
C0028,20,22
C0028,21,11
C0028,22,13
C0028,23,25
C0028,24,21
C0028,25,11
C0028,26,28
C0029,1,26
C0029,2,23
C0029,3,36
C0029,4,37
C0029,5,38
C0029,6,24
C0029,7,39
C0029,8,40
C0029,9,32
C0029,10,33
C0029,11,33
C0029,12,28
C0029,13,26
C0029,14,14
C0029,15,15
C0029,16,8
C0029,17,15
C0029,18,15
C0029,19,12
C0029,20,14
C0029,21,6
C0029,22,16
C0029,23,11
C0029,24,13
C0029,25,17
C0029,26,9
C0030,1,32
C0030,2,41
C0030,3,38
C0030,4,37
C0030,5,32
C0030,6,28
C0030,7,28
C0030,8,36
C0030,9,24
C0030,10,22
C0030,11,19
C0030,12,6
C0030,13,11
C0030,14,14
C0030,15,18
C0030,16,19
C0030,17,15
C0030,18,13
C0030,19,16
C0030,20,21
C0030,21,16
C0030,22,11
C0030,23,12
C0030,24,18
C0030,25,16
C0030,26,9
C0031,1,63
C0031,2,67
C0031,3,70
C0031,4,76
C0031,5,92
C0031,6,86
C0031,7,74
C0031,8,92
C0031,9,65
C0031,10,86
C0031,11,78
C0031,12,82
C0031,13,86
C0031,14,73
C0031,15,88
C0031,16,80
C0031,17,105
C0031,18,77
C0031,19,94
C0031,20,88
C0031,21,69
C0031,22,95
C0031,23,70
C0031,24,58
C0031,25,91
C0031,26,93
C0032,1,16
C0032,2,28
C0032,3,37
C0032,4,37
C0032,5,28
C0032,6,26
C0032,7,22
C0032,8,24
C0032,9,34
C0032,10,30
C0032,11,32
C0032,12,27
C0032,13,24
C0032,14,21
C0032,15,16
C0032,16,9
C0032,17,20
C0032,18,7
C0032,19,7
C0032,20,5
C0032,21,7
C0032,22,9
C0032,23,9
C0032,24,12
C0032,25,8
C0032,26,4
C0033,1,116
C0033,2,141
C0033,3,119
C0033,4,157
C0033,5,137
C0033,6,115
C0033,7,147
C0033,8,164
